"Image","Cells","Conversion","Organoid","Cell","Sheath.length","Sheath.type","Sheath.number","Bridge.length","Cell.type","CellID","OrgID","Sheaths.percell","Tot.length"
"Image4","Cso2","Conv_4","Org_1","Cell_1",134.267,"Regular",3,NA,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
"Image4","Cso2","Conv_4","Org_1","Cell_1",83.151,"Regular",4,NA,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
"Image4","Cso2","Conv_4","Org_1","Cell_1",80.553,"Regular",5,NA,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
"Image4","Cso2","Conv_4","Org_1","Cell_1",123.445,"Regular",6,NA,"OLs with bridges","Cso2.Conv_4.Org_1.Cell_1","Cso2.Conv_4.Org_1",6,568.82
"Image4","Cso2","Conv_4","Org_1","Cell_2",174.568,"Regular",1,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",137.557,"Regular",2,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",92.361,"Regular",3,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",105.821,"Regular",4,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",160.526,"Regular",5,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",170.167,"Regular",6,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_2",137.136,"Regular",7,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_2","Cso2.Conv_4.Org_1",7,978.136
"Image4","Cso2","Conv_4","Org_1","Cell_3",127.104,"Regular",1,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",116.196,"Regular",2,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",94.285,"Regular",3,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",104.06,"Regular",4,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",126.556,"Regular",5,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",178.438,"Regular",6,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image4","Cso2","Conv_4","Org_1","Cell_3",128.29,"Regular",7,NA,"OLs without bridges","Cso2.Conv_4.Org_1.Cell_3","Cso2.Conv_4.Org_1",7,874.929
"Image3","Cso2","Conv_4","Org_2","Cell_1",109.158,"Regular",1,NA,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_1",140.662,"Regular",2,NA,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_1",168.267,"Regular",3,NA,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_1",100.699,"Anchored",4,NA,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_1",69.93,"Bridged",5,47.243,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_1",102.379,"Regular",6,NA,"OLs with bridges","Cso2.Conv_4.Org_2.Cell_1","Cso2.Conv_4.Org_2",6,691.095
"Image3","Cso2","Conv_4","Org_2","Cell_2",98.586,"Regular",1,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image3","Cso2","Conv_4","Org_2","Cell_2",228.331,"Regular",2,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image3","Cso2","Conv_4","Org_2","Cell_2",152.63,"Regular",3,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image3","Cso2","Conv_4","Org_2","Cell_2",96.207,"Regular",4,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image3","Cso2","Conv_4","Org_2","Cell_2",112.273,"Regular",5,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image3","Cso2","Conv_4","Org_2","Cell_2",104.118,"Regular",6,NA,"OLs without bridges","Cso2.Conv_4.Org_2.Cell_2","Cso2.Conv_4.Org_2",6,792.145
"Image13","Cs25","Conv_1","Org_2","Cell_3",122.016,"Regular",1,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",131.593,"Regular",2,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",79.172,"Regular",3,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",62.687,"Regular",4,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",80.904,"Regular",5,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",65.284,"Regular",6,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",11.665,"Regular",7,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",131.605,"Regular",8,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_3",30.606,"Regular",9,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_3","Cs25.Conv_1.Org_2",9,715.532
"Image13","Cs25","Conv_1","Org_2","Cell_4",125.96,"Regular",1,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",89.376,"Regular",2,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",64.191,"Regular",3,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",83.862,"Regular",4,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",136.219,"Regular",5,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",104.805,"Regular",6,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",88.354,"Regular",7,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",91.758,"Regular",8,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
