Image,Cells,Conversion,Organoid,Cell,Length,sheath.type,Number,Bridge.length,Chain.length,Cell.type,CellID,OrgID,FREQ.SHEATH,Tot.length
Image3,Cso2,Conv_4,Org_2,Cell_1,140.662,Non-Bridged sheaths sheaths,2,NA,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,168.267,Non-Bridged sheaths sheaths,3,NA,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,100.699,Anchoring sheaths,4,NA,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,69.93,Bridged sheaths,5,47.243,170.629,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,47.243,Bridge,,,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,170.629,Chain,,,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_1,102.379,Non-Bridged sheaths sheaths,6,NA,,OLs with bridges,Cso2.Conv_4.Org_2.Cell_1,Cso2.Conv_4.Org_2,6,691.095
Image3,Cso2,Conv_4,Org_2,Cell_2,98.586,Non-Bridged sheaths sheaths,1,NA,,OLs without bridges,Cso2.Conv_4.Org_2.Cell_2,Cso2.Conv_4.Org_2,6,792.145
Image3,Cso2,Conv_4,Org_2,Cell_2,228.331,Non-Bridged sheaths sheaths,2,NA,,OLs without bridges,Cso2.Conv_4.Org_2.Cell_2,Cso2.Conv_4.Org_2,6,792.145
Image3,Cso2,Conv_4,Org_2,Cell_2,152.63,Non-Bridged sheaths sheaths,3,NA,,OLs without bridges,Cso2.Conv_4.Org_2.Cell_2,Cso2.Conv_4.Org_2,6,792.145
Image3,Cso2,Conv_4,Org_2,Cell_2,96.207,Non-Bridged sheaths sheaths,4,NA,,OLs without bridges,Cso2.Conv_4.Org_2.Cell_2,Cso2.Conv_4.Org_2,6,792.145
