Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(108476, 51910, 722)","(109391, 52120, 740)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(109391, 52120, 740)","(109788, 52241, 745)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(109788, 52241, 745)","(110647, 52526, 776)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(110647, 52526, 776)","(111606, 52621, 797)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(111606, 52621, 797)","(112439, 52755, 808)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(112439, 52755, 808)","(113464, 52798, 850)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(113464, 52798, 850)","(114366, 52994, 863)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(114366, 52994, 863)","(114950, 52941, 897)",,,,,81376ba07e90ad9ca0f376f14319010d2035b139,Line,
"(106386, 51766, 699)",,,,"18 devPNB_27 2 branches AIT ",,,Line Strip,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4
"(106386, 51766, 699)","(104802, 51850, 684)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(104802, 51850, 684)","(103375, 51799, 663)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(103375, 51799, 663)","(102261, 51727, 588)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(102261, 51727, 588)","(100767, 51722, 617)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(100767, 51722, 617)","(99531, 51522, 634)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(99531, 51522, 634)","(97691, 50994, 614)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(97691, 50994, 614)","(96581, 50620, 634)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(96581, 50620, 634)","(95179, 50051, 689)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(95179, 50051, 689)","(94520, 49978, 710)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(94520, 49978, 710)","(93492, 49918, 688)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(93492, 49918, 688)","(92440, 49754, 690)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(92440, 49754, 690)","(91409, 49448, 666)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(91409, 49448, 666)","(90453, 49111, 669)",,,,,ae1018bb21a9bccaf6b9dd733e5f96217033d9f4,Line,
"(89659, 40400, 661)",,,,19 na,,,Line Strip,0bb6f544479b1177b2e0cda17b92c860666becc6
"(89659, 40400, 661)","(90514, 41322, 721)",,,,,0bb6f544479b1177b2e0cda17b92c860666becc6,Line,
"(90514, 41322, 721)","(91316, 42165, 773)",,,,,0bb6f544479b1177b2e0cda17b92c860666becc6,Line,
"(91316, 42165, 773)","(91746, 42579, 793)",,,,,0bb6f544479b1177b2e0cda17b92c860666becc6,Line,
"(91746, 42579, 793)","(92284, 43229, 771)",,,,,0bb6f544479b1177b2e0cda17b92c860666becc6,Line,
"(92284, 43229, 771)","(92827, 44108, 794)",,,,,0bb6f544479b1177b2e0cda17b92c860666becc6,Line,
"(93201, 38041, 1400)",,,,20 devPNB_13 TTT,,,Line Strip,0c423b8fc0864aa3d9bf1b432185735d10ddad62
"(93201, 38041, 1400)","(93707, 38323, 1362)",,,,,0c423b8fc0864aa3d9bf1b432185735d10ddad62,Line,
"(93707, 38323, 1362)","(94361, 38506, 1312)",,,,,0c423b8fc0864aa3d9bf1b432185735d10ddad62,Line,
"(94361, 38506, 1312)","(94941, 38791, 1295)",,,,,0c423b8fc0864aa3d9bf1b432185735d10ddad62,Line,
"(111508, 47286, 989)",,,,21 AIT,,,Line Strip,b838ce5421d9871ee45051642d1bb86a26f02ec9
"(111508, 47286, 989)","(112395, 47550, 972)",,,,,b838ce5421d9871ee45051642d1bb86a26f02ec9,Line,
"(112395, 47550, 972)","(113227, 47924, 934)",,,,,b838ce5421d9871ee45051642d1bb86a26f02ec9,Line,
"(113227, 47924, 934)","(114157, 48214, 876)",,,,,b838ce5421d9871ee45051642d1bb86a26f02ec9,Line,
